Date, Close/Last, Volume, Open, High, Low
06/01/2020, 2700.37, 0, 2716.46, 2749.57, 2696.89
05/29/2020, 2699.27, 0, 2716.82, 2727.96, 2672.37
05/28/2020, 2764.7, 0, 2912.06, 2912.06, 2758.08
05/27/2020, 2873.61, 0, 2792.03, 2880.03, 2750.57
05/26/2020, 2690.84, 0, 2618.55, 2715.37, 2617.94
05/22/2020, 2512.24, 0, 2544.17, 2552.98, 2489.77
05/21/2020, 2530.32, 0, 2533.54, 2567.42, 2530.32
05/20/2020, 2546.73, 0, 2468.11, 2549.34, 2467.89
05/19/2020, 2413.11, 0, 2509.05, 2511.5, 2412.08
05/18/2020, 2534.27, 0, 2426.41, 2544.85, 2426.41
05/15/2020, 2312.68, 0, 2293.21, 2322.74, 2281.92
05/14/2020, 2313.08, 0, 2219.29, 2317.42, 2157.14
05/13/2020, 2273.85, 0, 2364.25, 2364.25, 2231.35
05/12/2020, 2383.6, 0, 2518.89, 2526.18, 2383.01
05/11/2020, 2509.57, 0, 2571.06, 2571.08, 2488.01
05/08/2020, 2617.1, 0, 2556.22, 2623.79, 2555.76
05/07/2020, 2494.15, 0, 2512.34, 2564.33, 2485.14
05/06/2020, 2477.25, 0, 2566.83, 2571.42, 2472.03
05/05/2020, 2542.59, 0, 2665.11, 2679.41, 2540.95
05/04/2020, 2605.95, 0, 2564.9, 2608, 2551.3
05/01/2020, 2622.75, 0, 2665.17, 2665.74, 2581.05
04/30/2020, 2736.75, 0, 2774.26, 2776.62, 2720.64
04/29/2020, 2855.36, 0, 2785.65, 2897.01, 2768.18
04/28/2020, 2697.13, 0, 2707.99, 2738.86, 2667.85
04/27/2020, 2625.87, 0, 2497.16, 2645.17, 2490.01
04/24/2020, 2467.04, 0, 2437.04, 2485.2, 2409.63
04/23/2020, 2416.84, 0, 2395.87, 2456.97, 2393.89
04/22/2020, 2384.3, 0, 2442.42, 2449.12, 2371.49
04/21/2020, 2387.26, 0, 2358.5, 2413.24, 2342.91
04/20/2020, 2437.53, 0, 2389.87, 2486.75, 2378.23
04/17/2020, 2459.69, 0, 2376.62, 2470.93, 2376.62
04/16/2020, 2283.7, 0, 2359.92, 2360.41, 2243.3
04/15/2020, 2362.22, 0, 2416.76, 2416.76, 2356.94
04/14/2020, 2520.28, 0, 2615.69, 2622.8, 2485.52
04/13/2020, 2551.56, 0, 2694.73, 2695.41, 2534.9
04/09/2020, 2702.29, 0, 2582.19, 2706.46, 2580.17
04/08/2020, 2511.43, 0, 2452.47, 2519.8, 2416.78
04/07/2020, 2410.69, 0, 2482.72, 2521.12, 2392.58
04/06/2020, 2381.74, 0, 2333.96, 2385.56, 2323.53
04/03/2020, 2223.63, 0, 2316.15, 2330.35, 2193.91
04/02/2020, 2332.66, 0, 2267.01, 2368.13, 2267.01
04/01/2020, 2286.69, 0, 2330.81, 2340.31, 2270.07
03/31/2020, 2442.94, 0, 2437.53, 2473.59, 2388.84
03/30/2020, 2459.21, 0, 2429.82, 2461.97, 2385.19
03/27/2020, 2433.32, 0, 2436.57, 2506.51, 2420.98
03/26/2020, 2542.37, 0, 2368.22, 2546.57, 2355.89
03/25/2020, 2345.4, 0, 2367.44, 2411.72, 2274.53
03/24/2020, 2346.8, 0, 2249.65, 2346.8, 2240.73
03/23/2020, 2136.72, 0, 2266.05, 2267.61, 2068.98
03/20/2020, 2266.54, 0, 2441.48, 2462.01, 2250.81
03/19/2020, 2442.44, 0, 2280.84, 2476.05, 2218.63
03/18/2020, 2312.02, 0, 2423.2, 2455.89, 2281.14
03/17/2020, 2574.39, 0, 2397.92, 2574.39, 2325.11
03/16/2020, 2354.98, 0, 2510.75, 2510.75, 2342.99
03/13/2020, 2668.8, 0, 2591.5, 2668.8, 2484.04
03/12/2020, 2432.1, 0, 2475.29, 2596.14, 2398.6
03/11/2020, 2660.91, 0, 2759.3, 2786.61, 2638.81
03/10/2020, 2844.29, 0, 2824.75, 2860.31, 2699.46
03/09/2020, 2723.14, 0, 2893.64, 2906.89, 2718.34
03/06/2020, 3133.25, 0, 3123.21, 3197.67, 3075.31
03/05/2020, 3238.04, 0, 3301.66, 3306.09, 3203.11
03/04/2020, 3396.48, 0, 3370.05, 3396.48, 3303.66
03/03/2020, 3336.7, 0, 3439.08, 3468.2, 3313.15
03/02/2020, 3453.01, 0, 3309.47, 3453.01, 3288.71
02/28/2020, 3307.66, 0, 3321.78, 3362.44, 3248.9
02/27/2020, 3416.65, 0, 3479.91, 3550.81, 3416.65
02/26/2020, 3542.94, 0, 3603.27, 3619.72, 3541.59
02/25/2020, 3580.28, 0, 3708.93, 3708.93, 3576.57
02/24/2020, 3703.12, 0, 3705.06, 3720.37, 3682.68
02/21/2020, 3806.8, 0, 3834.95, 3836.03, 3791.66
02/20/2020, 3847.91, 0, 3807.95, 3853.47, 3807.84
02/19/2020, 3817.53, 0, 3813.09, 3828.63, 3812.91
02/18/2020, 3803.37, 0, 3826.72, 3835.26, 3787.5
02/14/2020, 3841.43, 0, 3864.88, 3865.18, 3836.03
02/13/2020, 3865.7, 0, 3827.36, 3865.7, 3824.75
02/12/2020, 3845.32, 0, 3860.14, 3867.04, 3834.92
02/11/2020, 3836.2, 0, 3830.51, 3860.51, 3830.47
02/10/2020, 3817.56, 0, 3800.51, 3817.56, 3796.35
02/07/2020, 3813.98, 0, 3834.81, 3836.09, 3811.64
02/06/2020, 3851.16, 0, 3905.44, 3909.56, 3851.16
02/05/2020, 3887.94, 0, 3852.32, 3892.16, 3852.27
02/04/2020, 3810.12, 0, 3816.68, 3830.09, 3808.41
02/03/2020, 3768.45, 0, 3748.83, 3781.11, 3746.56
01/31/2020, 3722.53, 0, 3766.87, 3772.67, 3718.24
01/30/2020, 3799.57, 0, 3735.19, 3799.62, 3728.65
01/29/2020, 3758.47, 0, 3802.33, 3812.6, 3758.12
01/28/2020, 3801.15, 0, 3812.31, 3825.29, 3796.73
01/27/2020, 3783.14, 0, 3770.76, 3803.39, 3762.75
01/24/2020, 3829.87, 0, 3888.68, 3894.2, 3803.71
01/23/2020, 3885.12, 0, 3874.47, 3893.76, 3841.35
01/22/2020, 3872.14, 0, 3869.71, 3881.16, 3861.45
01/21/2020, 3872.99, 0, 3902.8, 3906.31, 3871.36
01/17/2020, 3918.66, 0, 3941.73, 3942.98, 3911.97
01/16/2020, 3921.02, 0, 3891.73, 3924.39, 3891.73
01/15/2020, 3870.19, 0, 3881.12, 3890.61, 3854.32
01/14/2020, 3901.59, 0, 3898.36, 3922.08, 3888.85
01/13/2020, 3904.8, 0, 3888.2, 3904.8, 3873.91
01/10/2020, 3882.53, 0, 3912.87, 3912.87, 3877.17
01/09/2020, 3916.02, 0, 3927.01, 3930.99, 3910.17
